dataset,detector,feature_extractor,use_best_ckpt,is_ood_label_in_train,ood_label,fpr_95,fpr_90,aupr,auroc,f1,mcc,adb_alpha,adb_step_size
clinc150,ADB,bert,False,False,oos,,,,,0.7315212207916071,0.6695444676240944,0.75,0.01
clinc150,ADB,bert,False,True,oos,,,,,0.5929978118161926,0.5160255287150379,0.75,0.01
clinc150,ADB,mpnet,False,False,oos,,,,,0.8247610377787893,0.7863965589822328,0.75,0.01
clinc150,ADB,mpnet,False,True,oos,,,,,0.7701863354037267,0.7173954265589457,0.75,0.01
clinc150,ADB,use,False,False,oos,,,,,0.7992388201712656,0.7533055523281477,0.75,0.01
clinc150,ADB,use,False,True,oos,,,,,0.7056345444971038,0.6457566581328535,0.75,0.01
clinc150,BiEncoderCosine,mpnet,False,False,oos,0.062,0.029555555555555557,0.9488238388355914,0.9857670000000001,0.8488499452354874,0.8244716251938868,,
clinc150,BiEncoderEntropy,mpnet,False,False,oos,0.059333333333333335,0.030444444444444444,0.9498512891541163,0.986303111111111,0.8333333333333333,0.8096370594989164,,
clinc150,BiEncoderEuclidean,mpnet,False,False,oos,0.05977777777777778,0.02666666666666667,0.9479584482676409,0.9857322222222222,0.8357380688124306,0.8110198811800743,,
clinc150,BiEncoderLOF,mpnet,False,False,oos,0.09,0.046666666666666676,0.8959511031166826,0.9763244444444444,0.6559897501601537,0.6386153388571065,,
clinc150,BiEncoderMaha,mpnet,False,False,oos,0.04622222222222222,0.02288888888888889,0.9605997787002227,0.9881106666666667,0.838782412626832,0.8178106950502505,,
clinc150,BiEncoderPCACosine,mpnet,False,False,oos,0.058222222222222224,0.029333333333333333,0.9480710092617425,0.9855082222222222,0.8306997742663655,0.808332893849192,,
clinc150,BiEncoderPCAEntropy,mpnet,False,False,oos,0.058,0.03244444444444444,0.9470460471426816,0.9853844444444446,0.8485511208310552,0.8238416039436762,,
clinc150,BiEncoderPCAEuclidean,mpnet,False,False,oos,0.05622222222222222,0.030444444444444444,0.947472224849797,0.9855673333333334,0.848385331143952,0.8238213648718985,,
clinc150,BinaryMSP,bert,False,True,oos,0.7644444444444445,0.5726666666666667,0.5714918277317945,0.7953918888888889,0.3775038520801232,0.3973588408225393,,
clinc150,BinaryMSP,mpnet,False,True,oos,0.9174174174174172,0.8348348348348348,0.4803525348884423,0.695170111111111,0.3886703383162864,0.43065455233380134,,
clinc150,BinaryMSP,use,False,True,oos,0.7737976782752899,0.5668888888888889,0.6513602721897236,0.8344115555555557,0.5130007027406888,0.5096971688191415,,
clinc150,DOC,bert,False,False,oos,0.4642222222222222,0.3128888888888889,0.5972808658455545,0.8725462222222222,0.6036529680365298,0.509036934085335,,
clinc150,DOC,bert,False,True,oos,0.7417777777777778,0.5604444444444444,0.6021842276234554,0.8125435555555556,0.3804347826086957,0.4076582696730399,,
clinc150,DOC,bert,True,False,oos,0.43466666666666665,0.344,0.6214576503543549,0.8800295555555557,0.5224892174984597,0.4621845297873279,,
clinc150,DOC,bert,True,True,oos,0.7368888888888889,0.5824444444444444,0.5780027859654325,0.8005197777777777,0.32739059967585094,0.3724302772972368,,
clinc150,DOC,mpnet,False,False,oos,0.15711111111111112,0.08333333333333333,0.8747005218526477,0.9651564444444444,0.7879763821792808,0.7479571527716303,,
clinc150,DOC,mpnet,False,True,oos,0.6931111111111111,0.5273333333333333,0.6649269870396708,0.8374817777777778,0.5007173601147776,0.5070110667189784,,
clinc150,DOC,mpnet,True,False,oos,0.16977777777777778,0.092,0.8726116703604431,0.9632852222222221,0.7456037514654162,0.7154145881617043,,
clinc150,DOC,mpnet,True,True,oos,0.6711111111111111,0.46555555555555556,0.6874506743451575,0.8581677777777776,0.47612049963262304,0.4918072325851876,,
clinc150,DOC,use,False,False,oos,0.2773333333333333,0.17244444444444446,0.7369276579836715,0.9308049999999999,0.5826472450918303,0.5448601531426407,,
clinc150,DOC,use,False,True,oos,0.6726666666666666,0.5186666666666667,0.6865791580859391,0.8449673333333333,0.4315545243619489,0.47381943222879624,,
clinc150,DOC,use,True,False,oos,0.2028888888888889,0.12866666666666668,0.8159531720155577,0.9494676666666666,0.689695550351288,0.6478830847203346,,
clinc150,DOC,use,True,True,oos,0.6984444444444444,0.5733333333333334,0.686891166567079,0.8436555555555556,0.34238683127572017,0.4108352802537379,,
clinc150,Entropy,bert,False,False,oos,0.5006666666666667,0.4033333333333333,0.4746559462915571,0.823907,0.5258426966292135,0.4083931961560519,,
clinc150,Entropy,bert,True,False,oos,0.48866666666666664,0.382,0.537054865020209,0.8523716666666666,0.5034965034965035,0.4228143655729128,,
clinc150,Entropy,mpnet,False,False,oos,0.31333333333333335,0.19822222222222222,0.6871107177250529,0.9151241111111111,0.5322164948453608,0.49046897271958345,,
clinc150,Entropy,mpnet,True,False,oos,0.36844444444444446,0.23133333333333334,0.7285041374417267,0.9122413333333333,0.5298102981029811,0.5104469383420813,,
clinc150,Entropy,use,False,False,oos,0.37377777777777776,0.26222222222222225,0.6441535420497593,0.8928062222222222,0.6181015452538631,0.5264805366227939,,
clinc150,Entropy,use,True,False,oos,0.3413333333333333,0.2548888888888889,0.7687455493892598,0.9174731111111111,0.6408010012515645,0.6106861062786119,,
clinc150,KNN,bert,False,False,oos,0.3953333333333333,0.2673333333333333,0.6479420881249646,0.8983842222222221,0.5126541207008436,0.46955355671805565,,
clinc150,KNN,mpnet,False,False,oos,0.1368888888888889,0.07644444444444444,0.8737788617603206,0.9676933333333333,0.7206771463119709,0.694827493692548,,
clinc150,KNN,use,False,False,oos,0.21866666666666668,0.1348888888888889,0.8583235411921697,0.9556146666666667,0.6549935149156939,0.6428586809252627,,
clinc150,LOF,bert,False,False,oos,0.4002222222222222,0.2971111111111111,0.5984200696577453,0.8838955555555555,0.6093972472710014,0.518169619504983,,
clinc150,LOF,bert,True,False,oos,0.4002222222222222,0.2971111111111111,0.5984200696577453,0.8838955555555555,0.6093972472710014,0.518169619504983,,
clinc150,LOF,mpnet,False,False,oos,0.23,0.15777777777777777,0.7581734184353288,0.93739,0.6773480662983424,0.6195254795371928,,
clinc150,LOF,mpnet,True,False,oos,0.23,0.15777777777777777,0.7581734184353288,0.93739,0.6773480662983424,0.6195254795371928,,
clinc150,LOF,use,False,False,oos,0.256,0.16066666666666668,0.8032120462877923,0.9405175555555555,0.6887725421756834,0.6450455645537638,,
clinc150,LOF,use,True,False,oos,0.256,0.16066666666666668,0.8032120462877923,0.9405175555555555,0.6887725421756834,0.6450455645537638,,
clinc150,LikelihoodRatio,None,False,False,oos,0.35777777777777775,0.232,0.7395032430382712,0.9182053333333333,,,,
clinc150,MSP,bert,False,False,oos,0.5560888888888889,0.43622222222222223,0.44426797738376406,0.8088950000000001,0.4474339810662681,0.3241206291866091,,
clinc150,MSP,bert,False,True,oos,0.5635555555555556,0.3844444444444444,0.6837967115419704,0.8734733333333333,0.4506217995610826,0.4557702795305205,,
clinc150,MSP,bert,True,False,oos,0.5522222222222222,0.43244444444444446,0.4770458368073448,0.8191633333333334,0.3901203293223559,0.3113885549738823,,
clinc150,MSP,bert,True,True,oos,0.5006666666666667,0.31555555555555553,0.7176579776644139,0.8872271111111113,0.42835365853658547,0.45704147876641654,,
clinc150,MSP,mpnet,False,False,oos,0.30533333333333335,0.22,0.6645010977956507,0.9052283333333334,0.6396568160152527,0.555886745645485,,
clinc150,MSP,mpnet,False,True,oos,0.2742222222222222,0.1668888888888889,0.8396228221436273,0.9430928888888889,0.6408404464871963,0.6314134739136956,,
clinc150,MSP,mpnet,True,False,oos,0.31044444444444447,0.21266666666666667,0.7484978241956272,0.9215997777777777,0.5933503836317136,0.5616722862543243,,
clinc150,MSP,mpnet,True,True,oos,0.20422222222222222,0.11066666666666666,0.8767310681493481,0.9603719999999999,0.7034482758620689,0.6872303018344679,,
clinc150,MSP,use,False,False,oos,0.3805555555555556,0.2551111111111111,0.6088998762949038,0.8896624444444443,0.6317254174397032,0.5447356935331047,,
clinc150,MSP,use,False,True,oos,0.3804444444444444,0.21088888888888888,0.8199139014194581,0.928508,0.5073746312684365,0.5350686176261421,,
clinc150,MSP,use,True,False,oos,0.31977777777777777,0.23044444444444445,0.7065270963753589,0.9097094444444445,0.654577620521893,0.5727383061141608,,
clinc150,MSP,use,True,True,oos,0.29088888888888886,0.15155555555555555,0.8764477507095678,0.9511482222222222,0.714107365792759,0.6983983651300317,,
clinc150,RAKE,None,False,False,oos,,,,,0.12586206896551722,0.12316299984912354,,
clinc150,TrustScores,bert,False,False,oos,0.36044444444444446,0.29155555555555557,0.37815101074734997,0.831311111111111,0.5591240875912408,0.4557737544277091,,
clinc150,TrustScores,bert,True,False,oos,0.40355555555555556,0.31866666666666665,0.34516295521013063,0.8107617777777777,0.5399216631515517,0.45283044020403806,,
clinc150,TrustScores,mpnet,False,False,oos,0.214,0.15666666666666668,0.5502844848277086,0.9143433333333334,0.6912811387900356,0.6191373154798469,,
clinc150,TrustScores,mpnet,True,False,oos,0.22977777777777778,0.18355555555555556,0.48786238338033816,0.8949248888888889,0.645048203330412,0.5607233202387157,,
clinc150,TrustScores,use,False,False,oos,0.27311111111111114,0.2102222222222222,0.52577107628948,0.8978200000000001,0.307739652254193,0.006356995196562479,,
clinc150,TrustScores,use,True,False,oos,0.268,0.20422222222222222,0.49600521945709397,0.8911419999999999,0.307739652254193,0.006356995196562479,,
rostd,ADB,bert,False,False,oos,,,,,0.7676568955341334,0.734768854760121,0.75,0.01
rostd,ADB,bert,False,True,oos,,,,,0.01171303074670571,-0.07755723416248084,0.75,0.01
rostd,ADB,mpnet,False,False,oos,,,,,0.8229284903518729,0.7920137494496905,0.75,0.01
rostd,ADB,mpnet,False,True,oos,,,,,0.02426127527216174,0.011346969893386934,0.75,0.01
rostd,ADB,use,False,False,oos,,,,,0.7360129266814784,0.7053616341273514,0.75,0.01
rostd,ADB,use,False,True,oos,,,,,0.03553921568627451,0.019360503171996196,0.75,0.01
rostd,BiEncoderCosine,mpnet,False,False,oos,0.00034798747245099175,0.00011599582415033058,0.9986170439969155,0.999078827984199,0.9776896380763509,0.9703236583766854,,
rostd,BiEncoderEntropy,mpnet,False,False,oos,0.00034798747245099175,0.0002319916483006612,0.9986089208117764,0.9991225610376409,0.9817344084252099,0.9755928592806848,,
rostd,BiEncoderEuclidean,mpnet,False,False,oos,0.00046398329660132234,0.00023199164830066117,0.9987369178743297,0.9991972638499578,0.9901150542861773,0.9865809717762057,,
rostd,BiEncoderLOF,mpnet,False,False,oos,0.06344971581023083,0.05892587866836794,0.698312767742407,0.9452108927962088,0.0,0.0,,
rostd,BiEncoderMaha,mpnet,False,False,oos,0.00046398329660132234,0.00034798747245099175,0.9990255727865353,0.9995832221237446,0.9900925775540036,0.9865721534935733,,
rostd,BiEncoderPCACosine,mpnet,False,False,oos,0.00011599582415033058,0.00011599582415033058,0.9987597664460612,0.9992195620763478,0.98910037416626,0.98524818778525,,
rostd,BiEncoderPCAEntropy,mpnet,False,False,oos,0.00034798747245099175,0.00023199164830066117,0.998721057857528,0.999192609001351,0.9874326750448834,0.983048425129358,,
rostd,BiEncoderPCAEuclidean,mpnet,False,False,oos,0.00034798747245099175,0.0002319916483006612,0.9987030850764653,0.9991984087925586,0.9889967637540453,0.985052905732934,,
rostd,BinaryMSP,bert,False,True,oos,0.0010439624173529754,0.0006959749449019835,0.9991373705409093,0.9996909781150791,0.988212497981592,0.983979487691925,,
rostd,BinaryMSP,mpnet,False,True,oos,0.0003339152874975872,0.00031631081320365197,0.9990102688941684,0.999820431707177,0.9969349895144378,0.9958404783574523,,
rostd,BinaryMSP,use,False,True,oos,0.00034798747245099175,0.00033242024209358334,0.998914492277948,0.9997951678917553,0.9966090747618279,0.9953942599145865,,
